rank,ncaaSchool,normalizedNcaa,season,source
5,Texas,texas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
6,Alabama,alabama,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
7,Georgia,georgia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
8,Florida St.,florida saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
11,Florida,florida,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
13,Mississippi St.,mississippi saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
15,Oregon,oregon,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
16,Ole Miss,ole miss,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
18,Oregon St.,oregon saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
19,Kansas,kansas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
21,Arkansas,arkansas,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
23,Missouri St.,missouri saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
24,Oklahoma,oklahoma,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
25,Jacksonville St.,jacksonville saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
29,Oklahoma St.,oklahoma saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
38,UC Santa Barbara,california santa barbara,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
43,Texas St.,texas saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
44,Arizona St.,arizona saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
47,Southeast Mo. St.,southeast mo saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
50,Kent St.,kent saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
51,NC State,nc state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
54,Michigan,michigan,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
55,Kansas St.,kansas saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
56,Tarleton St.,tarleton saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
58,Arkansas St.,arkansas saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
59,California,california,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
63,LSU,lsu,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
66,UAB,uab,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
71,Iowa,iowa,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
73,Cal Poly,cal poly,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
75,Eastern Ill.,eastern ill,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
82,Washington St.,washington saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
87,Ohio St.,ohio saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
89,Little Rock,little rock,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
92,Kennesaw St.,kennesaw saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
94,UC San Diego,california san diego,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
95,San Diego St.,san diego saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
98,Charlotte,charlotte,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
99,Sacramento St.,sacramento saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
101,Illinois,illinois,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
102,St. John's (NY),saint johns ny,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
103,Utah,utah,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
108,Missouri,missouri,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
109,Michigan St.,michigan saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
110,SIUE,siue,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
113,Morehead St.,morehead saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
117,Cal St. Fullerton,cal saint fullerton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
118,Binghamton,binghamton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
124,Indiana,indiana,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
125,UC Irvine,california irvine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
129,Jacksonville,jacksonville,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
130,Georgia St.,georgia saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
131,Hawaii,hawaii,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
135,Hofstra,hofstra,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
137,Air Force,air force,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
138,South Carolina,south carolina,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
141,Maine,maine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
142,Wichita St.,wichita saint,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
146,UC Davis,california davis,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
150,Northwestern,northwestern,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
155,Lipscomb,lipscomb,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
156,Washington,washington,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
