name,slug,city,state,zipCode,region,latitude,longitude,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,programXUrl,programInstagramUrl,programYoutubeUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Binghamton University,binghamton-university,Vestal,NY,13850-6000,NORTHEAST,42.087868,-75.966889,PUBLIC,FOUR_YEAR,https://www.binghamton.edu/,,,,,,10567,30447,30447,,14655,14655,0.3861,0.8162,https://collegescorecard.ed.gov/school/?196079,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Bryant University,bryant-university,Smithfield,RI,02917-1291,NORTHEAST,41.920092,-71.539547,PRIVATE,FOUR_YEAR,https://www.bryant.edu/,,,,,,52677,52677,52677,,3194,3194,0.6546,0.7975,https://collegescorecard.ed.gov/school/?217165,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,93407,PACIFIC,35.299513,-120.657311,PUBLIC,FOUR_YEAR,https://calpoly.edu/,,,,,,13596,34665,34665,,21996,21996,0.3132,0.864,https://collegescorecard.ed.gov/school/?110422,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,93311-1099,PACIFIC,35.350005,-119.104711,PUBLIC,FOUR_YEAR,https://www.csub.edu/,,,,,,8090,20690,20690,,8577,8577,0.9385,0.498,https://collegescorecard.ed.gov/school/?110486,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,92832-3599,PACIFIC,33.881506,-117.885446,PUBLIC,FOUR_YEAR,https://www.fullerton.edu/,,,,,,7470,20070,20070,,38546,38546,0.9052,0.7018,https://collegescorecard.ed.gov/school/?110565,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,90840-0115,PACIFIC,33.782818,-118.11204,PUBLIC,FOUR_YEAR,https://www.csulb.edu/,,,,,,7350,19950,19950,,35924,35924,0.4627,0.6888,https://collegescorecard.ed.gov/school/?110583,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Northridge",california-state-university-northridge,Northridge,CA,91330,PACIFIC,34.240126,-118.529319,PUBLIC,FOUR_YEAR,https://www.csun.edu/,,,,,,7458,20058,20058,,32691,32691,0.9345,0.5695,https://collegescorecard.ed.gov/school/?110608,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,95819-2694,PACIFIC,38.559415,-121.423549,PUBLIC,FOUR_YEAR,https://www.csus.edu/,,,,,,8018,20618,20618,,28350,28350,0.9399,0.5629,https://collegescorecard.ed.gov/school/?110617,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Coppin State University,coppin-state-university,Baltimore,MD,21216-3698,MID_ATLANTIC,39.311258,-76.658687,PUBLIC,FOUR_YEAR,https://www.coppin.edu/,,,,,,7100,14024,14024,,1844,1844,0.4583,0.2622,https://collegescorecard.ed.gov/school/?162283,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Hofstra University,hofstra-university,Hempstead,NY,11549,NORTHEAST,40.715959,-73.60078,PRIVATE,FOUR_YEAR,https://www.hofstra.edu/,,,,,,57660,57660,57660,,6488,6488,0.6808,0.6854,https://collegescorecard.ed.gov/school/?191649,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Iona University,iona-university,New Rochelle,NY,10801-1890,NORTHEAST,40.925725,-73.788046,PRIVATE,FOUR_YEAR,https://www.iona.edu/,,,,,,47260,47260,47260,,2951,2951,0.8694,0.56,https://collegescorecard.ed.gov/school/?191931,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
La Salle University,la-salle-university,Philadelphia,PA,19141-1199,MID_ATLANTIC,40.037979,-75.153061,PRIVATE,FOUR_YEAR,https://www.lasalle.edu/,,,,,,37800,37800,37800,,1953,1953,0.9659,0.5712,https://collegescorecard.ed.gov/school/?213367,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Lindenwood University,lindenwood-university,St. Charles,MO,63301-1695,MIDWEST,38.785425,-90.501286,PRIVATE,FOUR_YEAR,https://www.lindenwood.edu/,,,,,,21600,21600,21600,,4624,4624,0.5684,0.4933,https://collegescorecard.ed.gov/school/?177968,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Lipscomb University,lipscomb-university,Nashville,TN,37204-3951,SOUTHEAST,36.106253,-86.799791,PRIVATE,FOUR_YEAR,https://www.lipscomb.edu/,,,,,,40572,40572,40572,,2997,2997,0.6773,0.7216,https://collegescorecard.ed.gov/school/?219976,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Mercyhurst University,mercyhurst-university,Erie,PA,16546,MID_ATLANTIC,42.10578,-80.053412,PRIVATE,FOUR_YEAR,https://www.mercyhurst.edu/,,,,,,45770,45770,45770,,2191,2191,0.8102,0.6017,https://collegescorecard.ed.gov/school/?213987,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
New Jersey Institute of Technology,new-jersey-institute-of-technology,Newark,NJ,07102,MID_ATLANTIC,40.741997,-74.177113,PUBLIC,FOUR_YEAR,https://www.njit.edu/,,,,,,19974,37664,37664,,9019,9019,0.6507,0.7276,https://collegescorecard.ed.gov/school/?185828,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
North Dakota State University,north-dakota-state-university,Fargo,ND,58108-6050,MIDWEST,46.893127,-96.800838,PUBLIC,FOUR_YEAR,https://www.ndsu.edu/,,,,,,11110,15764,15764,,9471,9471,0.9496,0.6389,https://collegescorecard.ed.gov/school/?200332,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Oral Roberts University,oral-roberts-university,Tulsa,OK,74171,SOUTHWEST,36.049129,-95.952547,PRIVATE,FOUR_YEAR,https://oru.edu/,,,,,,35470,35470,35470,,3487,3487,0.989,0.5683,https://collegescorecard.ed.gov/school/?207582,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
South Dakota State University,south-dakota-state-university,Brookings,SD,57007-1898,MIDWEST,44.317485,-96.782139,PUBLIC,FOUR_YEAR,https://www.sdstate.edu/,,,,,,9299,12809,12809,,9198,9198,0.9834,0.6235,https://collegescorecard.ed.gov/school/?219356,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Southern Illinois University Edwardsville,southern-illinois-university-edwardsville,Edwardsville,IL,62026-1259,MIDWEST,38.793949,-89.997779,PUBLIC,FOUR_YEAR,https://www.siue.edu/,,,,,,12922,12922,12922,,8750,8750,0.975,0.5697,https://collegescorecard.ed.gov/school/?149231,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
St. Bonaventure University,st-bonaventure-university,St. Bonaventure,NY,14778-9800,NORTHEAST,42.080191,-78.481107,PRIVATE,FOUR_YEAR,https://www.sbu.edu/,,,,,,41735,41735,41735,,2012,2012,0.8165,0.6673,https://collegescorecard.ed.gov/school/?195164,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University at Albany, SUNY",university-at-albany-suny,Albany,NY,12222,NORTHEAST,42.685489,-73.824662,PUBLIC,FOUR_YEAR,https://www.albany.edu/,,,,,,10866,31256,31256,,12564,12564,0.691,0.6145,https://collegescorecard.ed.gov/school/?196060,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Davis",university-of-california-davis,Davis,CA,95616-8678,PACIFIC,38.539667,-121.749567,PUBLIC,FOUR_YEAR,https://ucdavis.edu/,,,,,,16774,50974,50974,,32253,32253,0.4183,0.8567,https://collegescorecard.ed.gov/school/?110644,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Irvine",university-of-california-irvine,Irvine,CA,92697,PACIFIC,33.648434,-117.841248,PUBLIC,FOUR_YEAR,https://www.uci.edu/,,,,,,15722,49922,49922,,30197,30197,0.2857,0.8687,https://collegescorecard.ed.gov/school/?110653,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Riverside",university-of-california-riverside,Riverside,CA,92521,PACIFIC,33.97246,-117.32741,PUBLIC,FOUR_YEAR,https://www.ucr.edu/,,,,,,15606,49806,49806,,22593,22593,0.7639,0.7596,https://collegescorecard.ed.gov/school/?110671,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, San Diego",university-of-california-san-diego,La Jolla,CA,92093,PACIFIC,32.877749,-117.235866,PUBLIC,FOUR_YEAR,https://www.ucsd.edu/,,,,,,16758,50958,50958,,34948,34948,0.2671,0.8605,https://collegescorecard.ed.gov/school/?110680,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"University of California, Santa Barbara",university-of-california-santa-barbara,Santa Barbara,CA,93106,PACIFIC,34.416297,-119.846426,PUBLIC,FOUR_YEAR,https://www.ucsb.edu/,,,,,,16414,50614,50614,,23113,23113,0.3297,0.8303,https://collegescorecard.ed.gov/school/?110705,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Delaware,university-of-delaware,Newark,DE,19716,MID_ATLANTIC,39.679577,-75.752822,PUBLIC,FOUR_YEAR,https://www.udel.edu/,,,,,,16810,41400,41400,,19071,19071,0.706,0.8055,https://collegescorecard.ed.gov/school/?130943,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
University of Hawaii at Manoa,university-of-hawaii-at-manoa,Honolulu,HI,96822-2217,PACIFIC,21.298598,-157.818979,PUBLIC,FOUR_YEAR,https://manoa.hawaii.edu/,,,,,,12186,34218,34218,,15029,15029,0.866,0.6429,https://collegescorecard.ed.gov/school/?141574,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
