collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmorirveq001iqtm00tv78mb7,University of Tennessee,university-of-tennessee,Knoxville,TN,,cmorirvfj001kqtm0id88nle9,NCAA_D1,,SEC,https://utsports.com/sports/baseball
cmou74gen00diqtbopd0cv1gz,University of Texas at El Paso,university-of-texas-at-el-paso,El Paso,TX,,cmou74gfe00dkqtboi4lonlfq,NCAA_D1,,Conference USA,https://utepminers.com/sports/baseball
cmou7skrx00giqtag4g0n7mer,University of Toledo,university-of-toledo,Toledo,OH,,cmou7sksm00gkqtag0c0v789p,NCAA_D1,,MAC,https://utrockets.com/sports/baseball
cmorirvj4001rqtm0u610tmnb,University of Virginia,university-of-virginia,Charlottesville,VA,,cmorirvju001tqtm0jenypf9l,NCAA_D1,,ACC,https://virginiasports.com/sports/baseball
cmoss3uty003rqtao20hszq6b,University of Wisconsin,wisconsin,Madison,WI,,cmoss3uul003tqtaotddkfhet,NCAA_D1,,Big Ten,
cmou7y70i00ixqtocvqf5dc9l,University of Wyoming,university-of-wyoming,Laramie,WY,,cmou7y71600izqtoch8lbz79k,NCAA_D1,,Mountain West,
cmou8eaho00p0qt6sjg4451ea,University of the Pacific,university-of-the-pacific,Stockton,CA,,cmou8eaid00p2qt6s4lh0kz0w,NCAA_D1,,West Coast Conference,https://pacifictigers.com/sports/baseball
cmou3xrmc0079qt5sgo4w6bdl,Utah State University,utah-state-university,Logan,UT,,cmou3xrmy007bqt5sdj6v1ac2,NCAA_D1,,Mountain West,
cmou7wkn100huqt5sh5w0xwo6,Valparaiso University,valparaiso-university,Valparaiso,IN,,cmou7wknu00hwqt5s4p8s9zzz,NCAA_D1,,Missouri Valley,https://valpoathletics.com/sports/baseball
cmorirvg7001lqtm0c5s97k3m,Vanderbilt University,vanderbilt-university,Nashville,TN,,cmorirvgy001nqtm003uf21dj,NCAA_D1,,SEC,https://vucommodores.com/sports/baseball
cmou6bacb00b0qtickdtwuqln,Villanova University,villanova-university,Villanova,PA,,cmou6bacz00b2qtic8lqoxe2q,NCAA_D1,,Big East,https://villanova.com/sports/baseball
cmou7zwjn00jlqt18mlkrxann,Wagner College,wagner-college,Staten Island,NY,,cmou7zwke00jnqt184bufb4dq,NCAA_D1,,Northeast Conference,https://wagnerathletics.com/sports/baseball
cmorihv3g000cqth80t0ywnkz,Winthrop University,winthrop-university,Rock Hill,SC,,cmorihv44000eqth8uy202g1u,NCAA_D1,,Big South,https://winthropeagles.com/sports/baseball
cmorihv200009qth8tpbw4u9n,Wofford College,wofford-college,Spartanburg,SC,,cmorihv2r000bqth8jevenygj,NCAA_D1,,SoCon,https://woffordterriers.com/sports/baseball
cmou6bado00b3qticrimagx0v,Xavier University,xavier-university,Cincinnati,OH,,cmou6baee00b5qtic8uzfufb4,NCAA_D1,,Big East,https://goxavier.com/sports/baseball
cmou7ekwq00eoqtx8hjslnjkg,Yale University,yale-university,New Haven,CT,,cmou7ekxf00eqqtx8xz654fgj,NCAA_D1,,Ivy League,https://yalebulldogs.com/sports/baseball
