rank,ncaaSchool,normalizedNcaa,season,source
3,Auburn,auburn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
10,Nebraska,nebraska,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
22,Cincinnati,cincinnati,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
26,Virginia,virginia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
28,Mercer,mercer,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
31,Tennessee,tennessee,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
32,Liberty,liberty,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
33,Louisiana,louisiana,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
35,Troy,troy,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
37,Kentucky,kentucky,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
38,UC Santa Barbara,uc santa barbara,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
39,Pittsburgh,pittsburgh,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
49,Clemson,clemson,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
51,NC State,north carolina state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
53,Purdue,purdue,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
57,Gonzaga,gonzaga,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
58,Arkansas St.,arkansas state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
60,Campbell,campbell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
61,Baylor,baylor,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
63,LSU,lsu,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
69,Xavier,xavier,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
72,Vanderbilt,vanderbilt,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
73,Cal Poly,cal poly,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
76,Rice,rice,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
81,Samford,samford,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
85,Maryland,maryland,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
86,Duke,duke,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
88,Northeastern,northeastern,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
91,Louisville,louisville,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
93,Minnesota,minnesota,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
94,UC San Diego,uc san diego,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
96,Creighton,creighton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
99,Sacramento St.,sacramento state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
104,Stanford,stanford,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
106,Longwood,longwood,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
107,Houston,houston,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
110,SIUE,siue,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
111,Memphis,memphis,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
112,Winthrop,winthrop,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
116,Wofford,wofford,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
117,Cal St. Fullerton,cal state fullerton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
118,Binghamton,binghamton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
119,Rider,rider,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
121,Portland,portland,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
122,Rutgers,rutgers,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
125,UC Irvine,uc irvine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
128,Richmond,richmond,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
129,Jacksonville,jacksonville,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
131,Hawaii,hawaii,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
133,McNeese,mcneese,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
135,Hofstra,hofstra,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
136,Toledo,toledo,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
141,Maine,maine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
144,Yale,yale,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
145,Monmouth,monmouth,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
146,UC Davis,uc davis,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
147,Tulane,tulane,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
153,Bucknell,bucknell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
154,Nicholls,nicholls,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
155,Lipscomb,lipscomb,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
160,Fairfield,fairfield,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
161,Radford,radford,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
168,Oral Roberts,oral roberts,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
173,Lindenwood,lindenwood,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
176,Penn,penn,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
177,Alabama St.,alabama state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
179,Niagara,niagara,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
182,Dayton,dayton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
185,Bryant,bryant,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
186,Brown,brown,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
187,CSUN,csun,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
188,Marshall,marshall,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
190,Columbia,columbia,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
196,Southern U.,southern u,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
203,Stetson,stetson,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
205,Quinnipiac,quinnipiac,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
206,Merrimack,merrimack,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
207,Fordham,fordham,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
211,Marist,marist,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
212,UMBC,umbc,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
214,Ball St.,ball state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
216,Evansville,evansville,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
217,Davidson,davidson,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
221,Pepperdine,pepperdine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
226,UMass Lowell,umass lowell,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
229,Wagner,wagner,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
230,Towson,towson,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
231,Harvard,harvard,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
232,Butler,butler,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
234,Elon,elon,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
236,Villanova,villanova,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
237,CSU Bakersfield,california state university bakersfield,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
239,South Dakota St.,south dakota state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
241,Delaware,delaware,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
243,Princeton,princeton,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
244,Pacific,pacific,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
248,Bellarmine,bellarmine,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
249,Long Beach St.,long beach state,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
251,Belmont,belmont,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
252,Omaha,omaha,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
256,Georgetown,georgetown,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
257,Grambling,grambling,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
258,Canisius,canisius,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
260,Iona,iona,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
262,Dartmouth,dartmouth,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
264,Stonehill,stonehill,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
267,Manhattan,manhattan,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
268,Siena,siena,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
270,Akron,akron,2026,https://www.ncaa.com/rankings/baseball/d1/rpi
