label,entityType,sourceSchema,sourceTable,sourceColumn,duplicateId,duplicateName,duplicateReferenceCount,canonicalId,canonicalName,canonicalReferenceCount,duplicateSlug,duplicateDivision,duplicateConference,duplicateWebsite,duplicateCoachCount,canonicalSlug,canonicalDivision,canonicalConference,canonicalWebsite,canonicalCoachCount
Reinhardt,College,public,CollegeBaseballProgram,collegeId,cmowzs1o3005uqt4wpekfzkhk,Reinhardt,1,cmorj0h79003cqtioydx0o97u,Reinhardt University,1,,,,,,,,,,
Reinhardt,SUMMARY,,,,cmowzs1o3005uqt4wpekfzkhk,Reinhardt,1,cmorj0h79003cqtioydx0o97u,Reinhardt University,1,reinhardt,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/reinhardtga,0,reinhardt-university,NAIA,Appalachian Athletic Conference,https://reinhardteagles.com/sports/baseball,0
Southern Wesleyan,College,public,CollegeAcademicArea,collegeId,cmovlhz5u00glqt20q1q4sk69,Southern Wesleyan,0,cmorjasts004cqt4w6w7jai0o,Southern Wesleyan University,21,,,,,,,,,,
Southern Wesleyan,College,public,CollegeBaseballProgram,collegeId,cmovlhz5u00glqt20q1q4sk69,Southern Wesleyan,1,cmorjasts004cqt4w6w7jai0o,Southern Wesleyan University,1,,,,,,,,,,
Southern Wesleyan,SUMMARY,,,,cmovlhz5u00glqt20q1q4sk69,Southern Wesleyan,1,cmorjasts004cqt4w6w7jai0o,Southern Wesleyan University,22,southern-wesleyan,NCAA_D2,Carolinas,,0,southern-wesleyan-university,NCAA_D2,Conference Carolinas,https://swuathletics.com/sports/baseball,0
Tennessee Wesleyan,College,public,CollegeAcademicArea,collegeId,cmox069px00cuqtgcav6r1c9b,Tennessee Wesleyan,0,cmorj0hbg003lqtio2flk2ko3,Tennessee Wesleyan University,7,,,,,,,,,,
Tennessee Wesleyan,College,public,CollegeBaseballProgram,collegeId,cmox069px00cuqtgcav6r1c9b,Tennessee Wesleyan,1,cmorj0hbg003lqtio2flk2ko3,Tennessee Wesleyan University,1,,,,,,,,,,
Tennessee Wesleyan,SUMMARY,,,,cmox069px00cuqtgcav6r1c9b,Tennessee Wesleyan,1,cmorj0hbg003lqtio2flk2ko3,Tennessee Wesleyan University,8,tennessee-wesleyan,NAIA,Appalachian Athletic Conference,https://naiastats.prestosports.com/sports/bsb/2024-25/teams/tennesseewesleyan,0,tennessee-wesleyan-university,NAIA,Appalachian Athletic Conference,https://twbulldogs.com/sports/baseball,0
Tusculum,College,public,CollegeAcademicArea,collegeId,cmovlhznz00hoqt20smgedllb,Tusculum,0,cmorjat4k0050qt4wuinkw7vf,Tusculum University,25,,,,,,,,,,
Tusculum,College,public,CollegeBaseballProgram,collegeId,cmovlhznz00hoqt20smgedllb,Tusculum,1,cmorjat4k0050qt4wuinkw7vf,Tusculum University,1,,,,,,,,,,
Tusculum,SUMMARY,,,,cmovlhznz00hoqt20smgedllb,Tusculum,1,cmorjat4k0050qt4wuinkw7vf,Tusculum University,26,tusculum,NCAA_D2,SAC,,0,tusculum-university,NCAA_D2,South Atlantic Conference,https://tusculumpioneers.com/sports/baseball,0
Wingate,College,public,CollegeAcademicArea,collegeId,cmovli0wd00kcqt20cgeygf4d,Wingate,0,cmorj0gva002oqtiogdc4aysl,Wingate University,28,,,,,,,,,,
Wingate,College,public,CollegeBaseballProgram,collegeId,cmovli0wd00kcqt20cgeygf4d,Wingate,1,cmorj0gva002oqtiogdc4aysl,Wingate University,1,,,,,,,,,,
Wingate,College,public,CollegeSavedSchool,collegeId,cmovli0wd00kcqt20cgeygf4d,Wingate,0,cmorj0gva002oqtiogdc4aysl,Wingate University,1,,,,,,,,,,
Wingate,SUMMARY,,,,cmovli0wd00kcqt20cgeygf4d,Wingate,1,cmorj0gva002oqtiogdc4aysl,Wingate University,30,wingate,NCAA_D2,SAC,,0,wingate-university,NCAA_D2,South Atlantic Conference,https://wingatebulldogs.com/sports/baseball,0
