slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
university-of-san-francisco,University of San Francisco,Management|Nursing,Communications|Education,Architecture,Management|Nursing|Communications|Education,5,4,https://www.usfca.edu/academics,WRITTEN
university-of-scranton,University of Scranton,Accounting|Education,Art|Business|Human Services|Management|Philosophy|Physics|Psychology,Criminal Justice|Exercise Science|Occupational Therapy|Physical Therapy|Pre-Med|Sociology,Accounting|Education|Art|Business|Human Services|Management|Philosophy|Physics|Psychology,15,9,https://www.scranton.edu/academics,WRITTEN
university-of-south-alabama,University of South Alabama,Art|Biology|Business|Education|Management,Accounting|Computer Engineering|Criminal Justice|Engineering|Finance|Health Sciences|History|Information Systems|Information Technology|Literature|Marketing|Nursing,Art History|Biochemistry|Biomedical Sciences|Chemistry|Civil Engineering|Communications|Cybersecurity|Economics|Emergency Management|Entrepreneurship|Hospitality|Human Resources|Kinesiology|Mathematics|Mechanical Engineering|Occupational Therapy|Performing Arts|Philosophy|Physical Therapy|Physics|Political Science|Psychology|Public Relations|Social Work|Sociology|Speech Pathology|Statistics,Art|Biology|Business|Education|Management|Accounting|Computer Engineering|Criminal Justice|Engineering|Finance|Health Sciences|History|Information Systems|Information Technology|Literature|Marketing|Nursing,44,17,https://www.southalabama.edu/programs,WRITTEN
university-of-south-carolina,University of South Carolina,Education,Business|Communications|Engineering|History|Hospitality|Management|Music|Nursing|Public Health|Social Work|Sport Management,Finance|Human Resources,Education|Business|Communications|Engineering|History|Hospitality|Management|Music|Nursing|Public Health|Social Work|Sport Management,14,12,https://www.sc.edu/academics,WRITTEN
university-of-south-florida,University of South Florida,Education,Business|History|Statistics,Communications|Human Resources,Education|Business|History|Statistics,6,4,https://www.usf.edu/academics,WRITTEN
university-of-southern-california,University of Southern California,,Accounting|Architecture|Art|Business|Education|Engineering|Journalism|Music|Occupational Therapy|Physical Therapy|Social Work,Health Sciences,Accounting|Architecture|Art|Business|Education|Engineering|Journalism|Music|Occupational Therapy|Physical Therapy|Social Work,12,11,https://www.usc.edu/academics,WRITTEN
university-of-southern-indiana,University of Southern Indiana,Business|Education|Engineering,Nursing,,Business|Education|Engineering|Nursing,4,4,https://www.usi.edu/academics,WRITTEN
university-of-southern-maine,University of Southern Maine,Art,Accounting|Actuarial Science|Art History|Business|Education|History|Information Systems|Mathematics|Psychology,,Art|Accounting|Actuarial Science|Art History|Business|Education|History|Information Systems|Mathematics|Psychology,10,10,https://www.usm.maine.edu/academics,WRITTEN
university-of-southern-mississippi,University of Southern Mississippi,Business,Accounting|Art|Education|Engineering|Finance,Athletic Training|Economics|Entrepreneurship,Business|Accounting|Art|Education|Engineering|Finance,9,6,https://www.usm.edu/academics,WRITTEN
university-of-st-thomas-texas,University of St. Thomas (Texas),Business|Education|Human Services|Nursing,Accounting|Art|Economics|Engineering|Entrepreneurship|Finance|International Business|Management|Marketing|Physics,Biology,Business|Education|Human Services|Nursing|Accounting|Art|Economics|Engineering|Entrepreneurship|Finance|International Business|Management|Marketing|Physics,15,14,https://www.stthom.edu/academics,WRITTEN
