collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyConference,canonicalConference,baseballWebsiteUrl,importedCoachCount
cmou87sfe00mcqt8omjooodxl,Stephen F. Austin State University,stephen-f-austin-state-university,Nacogdoches,TX,,NCAA_D1,,Southland,https://sfajacks.com/sports/baseball,4
cmou692i900a3qt1ge0op0qbf,Stetson University,stetson-university,DeLand,FL,,NCAA_D1,,,https://gohatters.com/sports/baseball,4
cmou7zwgq00jfqt18075d1yrp,Stonehill College,stonehill-college,Easton,MA,,NCAA_D1,,Northeast Conference,https://stonehillskyhawks.com/sports/baseball,4
cmou72rj700cfqtt8j1fo71oa,Stony Brook University,stony-brook-university,Stony Brook,NY,,NCAA_D1,,,https://stonybrookathletics.com/sports/baseball,3
cmosun08u0050qtlg3k28eb5j,TCU,tcu,Fort Worth,TX,,NCAA_D1,,,https://gofrogs.com/sports/baseball,4
cmou8ctnz00nxqtlo1naql28v,Tarleton State University,tarleton-state-university,Stephenville,TX,,NCAA_D1,,WAC,https://tarletonsports.com/sports/baseball,4
cmou825av00k9qtfo6o2sfjmf,Tennessee Technological University,tennessee-technological-university,Cookeville,TN,,NCAA_D1,,Ohio Valley,https://www.ttusports.com/sports/bsb,0
cmosp9qux002iqtygai7kj7ix,Texas A&M University,texas-am-university,College Station,TX,,NCAA_D1,,SEC,https://12thman.com/sports/baseball,4
cmou87sgu00mfqt8otiseblwa,Texas A&M University Corpus Christi,texas-am-university-corpus-christi,Corpus Christi,TX,,NCAA_D1,,Southland,https://goislanders.com/sports/baseball,4
cmou8bkkf00ncqtuwvmtkd81f,Texas Southern University,texas-southern-university,Houston,TX,,NCAA_D1,,SWAC,https://tsusports.com/sports/baseball,2
cmou3bzmd006iqtvo520iedb5,Texas State University,texas-state-university,San Marcos,TX,,NCAA_D1,,Pac-12,https://txst.com/sports/baseball,4
cmosun0a30053qtlgwqx8pc03,Texas Tech University,texas-tech-university,Lubbock,TX,,NCAA_D1,,,https://texastech.com/sports/baseball,4
