collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmrxrdv340008qtx0y4umykfi,Southern Illinois University Edwardsville,southern-illinois-university-edwardsville,Edwardsville,IL,NCAA_D1,cmrxrdv340009qtx0x5dk7ink,NCAA_D1,,,https://siuecougars.com/sports/baseball/,https://siuecougars.com/sports/baseball/,0,0
cmrxrdwsw001mqtx01t1dechs,St. Bonaventure University,st-bonaventure-university,St. Bonaventure,NY,NCAA_D1,cmrxrdwsw001nqtx08hnau9es,NCAA_D1,,,https://gobonnies.com/sports/baseball,https://gobonnies.com/sports/baseball,0,0
cmou825av00k9qtfo6o2sfjmf,Tennessee Technological University,tennessee-technological-university,Cookeville,TN,,cmou825bk00kbqtfopplc3k9d,NCAA_D1,,Ohio Valley,,https://ttusports.com/sports/baseball,0,0
cmrxrdwnt001iqtx0cgzv8q00,"University at Albany, SUNY",university-at-albany-suny,Albany,NY,NCAA_D1,cmrxrdwnt001jqtx0jpkx0ldj,NCAA_D1,,,https://ualbanysports.com/sports/baseball,https://ualbanysports.com/sports/baseball,0,0
cmosp9qcd001fqtygqtxktpzw,University of Arkansas,university-of-arkansas,Fayetteville,AR,,cmosp9qd4001hqtyggghrj9on,NCAA_D1,,SEC,,https://arkansasrazorbacks.com/sport/baseball,0,0
cmrxrdvk9000mqtx0itzsdx5v,"University of California, Davis",university-of-california-davis,Davis,CA,NCAA_D1,cmrxrdvk9000nqtx0lx6defy3,NCAA_D1,,,https://ucdavisaggies.com/sports/baseball,https://ucdavisaggies.com/sports/baseball,0,0
cmrxrdvai000eqtx0kzqf0czs,"University of California, Irvine",university-of-california-irvine,Irvine,CA,NCAA_D1,cmrxrdvai000fqtx0tjvyddkn,NCAA_D1,,,https://ucirvinesports.com/sports/baseball,https://ucirvinesports.com/sports/baseball,0,0
cmrxrdwle001gqtx0bpmkw79z,"University of California, Riverside",university-of-california-riverside,Riverside,CA,NCAA_D1,cmrxrdwle001hqtx0ihflj3q4,NCAA_D1,,,https://gohighlanders.com/sports/baseball,https://gohighlanders.com/sports/baseball,0,0
cmrxrduyd0004qtx0vghj2x0t,"University of California, San Diego",university-of-california-san-diego,La Jolla,CA,NCAA_D1,cmrxrduyd0005qtx0u3n2kvu5,NCAA_D1,,,https://ucsdtritons.com/sports/baseball,https://ucsdtritons.com/sports/baseball,0,0
cmrxrduq20000qtx012s2s5yk,"University of California, Santa Barbara",university-of-california-santa-barbara,Santa Barbara,CA,NCAA_D1,cmrxrduq30001qtx0txnjqhcr,NCAA_D1,,,https://ucsbgauchos.com/sports/baseball,https://ucsbgauchos.com/sports/baseball,0,0
cmrxrdw900016qtx0r0fuipbh,University of Delaware,university-of-delaware,Newark,DE,NCAA_D1,cmrxrdw900017qtx0ewpnxj0f,NCAA_D1,,,https://bluehens.com/sports/baseball,https://bluehens.com/sports/baseball,0,0
cmrxrdvd1000gqtx02c298jt4,University of Hawaii at Manoa,university-of-hawaii-at-manoa,Honolulu,HI,NCAA_D1,cmrxrdvd1000hqtx0ujdpix6y,NCAA_D1,,,https://hawaiiathletics.com/sports/baseball,https://hawaiiathletics.com/sports/baseball,0,0
cmrxrdvhu000kqtx0gujfqrs7,University of Maine,university-of-maine,Orono,ME,NCAA_D1,cmrxrdvhu000lqtx0973fnlz5,NCAA_D1,,,https://goblackbears.com/sports/baseball,https://goblackbears.com/sports/baseball,0,0
cmrxrdvz1000yqtx0u8if793l,"University of Maryland, Baltimore County",university-of-maryland-baltimore-county,Baltimore,MD,NCAA_D1,cmrxrdvz1000zqtx0yzrzqat7,NCAA_D1,,,https://umbcretrievers.com/sports/baseball,https://umbcretrievers.com/sports/baseball,0,0
cmrxrdw1m0010qtx0bwgx0h84,University of Massachusetts Lowell,university-of-massachusetts-lowell,Lowell,MA,NCAA_D1,cmrxrdw1m0011qtx0h775gxd1,NCAA_D1,,,https://goriverhawks.com/sports/baseball,https://goriverhawks.com/sports/baseball,0,0
cmrxrdwe2001aqtx05nvcgm7m,University of Nebraska Omaha,university-of-nebraska-omaha,Omaha,NE,NCAA_D1,cmrxrdwe3001bqtx0wvam2rmc,NCAA_D1,,,https://omavs.com/sports/baseball,https://omavs.com/sports/baseball,0,0
cmrxrdx57001wqtx0mcgkvth1,University of New Haven,university-of-new-haven,West Haven,CT,NCAA_D1,cmrxrdx57001xqtx0ghdsnofv,NCAA_D1,,,https://newhavenchargers.com/sports/baseball,https://newhavenchargers.com/sports/baseball,0,0
cmrxrdx0d001sqtx0fsejcz96,University of Northern Colorado,university-of-northern-colorado,Greeley,CO,NCAA_D1,cmrxrdx0d001tqtx0klndcy97,NCAA_D1,,,https://uncbears.com/sports/baseball,https://uncbears.com/sports/baseball,0,0
cmrxrdwxt001qqtx0a2ko0tgd,University of St. Thomas,university-of-st-thomas-minnesota,St. Paul,MN,NCAA_D1,cmrxrdwxt001rqtx0d6a23mph,NCAA_D1,,,https://tommiesports.com/sports/baseball,https://tommiesports.com/sports/baseball,0,0
