collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,collegeProgramWebsiteUrl,baseballWebsiteUrl,coachCount,headCoachCount
cmou3bz97005rqtvofgt7p17h,Coastal Carolina University,coastal-carolina-university,Conway,SC,,cmou3bz9z005tqtvogqtsk7dh,NCAA_D1,,Sun Belt,,https://goccusports.com/sports/baseball,14,2
cmou7g58200fcqtkwlr36bze7,Rider University,rider-university,Lawrenceville,NJ,,cmou7g58r00feqtkwnpsgaznj,NCAA_D1,,MAAC,,https://gobroncs.com/sports/baseball,4,2
cmou65qcx008uqt1ofivi6ige,University of Massachusetts Amherst,university-of-massachusetts-amherst,Amherst,MA,,cmou65qdo008wqt1opj95aftn,NCAA_D1,,MAC,,https://umassathletics.com/sports/baseball,4,2
