name,slug,city,state,zipCode,region,latitude,longitude,control,schoolType,websiteUrl,admissionsUrl,academicsUrl,majorsUrl,applicationUrl,financialAidUrl,tuitionInState,tuitionOutOfState,tuitionInternational,tuitionYear,enrollmentTotal,enrollmentUndergrad,acceptanceRate,graduationRate,dataSourceUrl,verificationStatus,baseballNickname,baseballWebsiteUrl,rosterUrl,scheduleUrl,campsUrl,questionnaireUrl,generalContactUrl,generalContactEmail,division,conference,logoUrl,programXUrl,programInstagramUrl,programYoutubeUrl,currentRosterSize,averageGpa,scholarshipNotes,scholarshipInfoUrl,transferHeavy,jucoFriendly,baseballDataSourceUrl,baseballVerificationStatus
Binghamton University,binghamton-university,Vestal,NY,13850-6000,NORTHEAST,42.087868,-75.966889,PUBLIC,FOUR_YEAR,https://www.binghamton.edu/,,,,,,10567,30447,30447,,14655,14655,0.39,0.82,https://collegescorecard.ed.gov/school/?196079,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Bryant University,bryant-university,Smithfield,RI,02917-1291,NORTHEAST,41.920092,-71.539547,PRIVATE,FOUR_YEAR,https://www.bryant.edu/,,,,,,52677,52677,52677,,3194,3194,0.65,0.8,https://collegescorecard.ed.gov/school/?217165,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
California Polytechnic State University,california-polytechnic-state-university,San Luis Obispo,CA,93407,PACIFIC,35.299513,-120.657311,PUBLIC,FOUR_YEAR,https://calpoly.edu/,,,,,,13596,34665,34665,,21996,21996,0.31,0.86,https://collegescorecard.ed.gov/school/?110422,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Bakersfield",california-state-university-bakersfield,Bakersfield,CA,93311-1099,PACIFIC,35.350005,-119.104711,PUBLIC,FOUR_YEAR,https://www.csub.edu/,,,,,,8090,20690,20690,,8577,8577,0.94,0.5,https://collegescorecard.ed.gov/school/?110486,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Fullerton",california-state-university-fullerton,Fullerton,CA,92832-3599,PACIFIC,33.881506,-117.885446,PUBLIC,FOUR_YEAR,https://www.fullerton.edu/,,,,,,7470,20070,20070,,38546,38546,0.91,0.7,https://collegescorecard.ed.gov/school/?110565,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Long Beach",california-state-university-long-beach,Long Beach,CA,90840-0115,PACIFIC,33.782818,-118.11204,PUBLIC,FOUR_YEAR,https://www.csulb.edu/,,,,,,7350,19950,19950,,35924,35924,0.46,0.69,https://collegescorecard.ed.gov/school/?110583,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Northridge",california-state-university-northridge,Northridge,CA,91330,PACIFIC,34.240126,-118.529319,PUBLIC,FOUR_YEAR,https://www.csun.edu/,,,,,,7458,20058,20058,,32691,32691,0.93,0.57,https://collegescorecard.ed.gov/school/?110608,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
"California State University, Sacramento",california-state-university-sacramento,Sacramento,CA,95819-2694,PACIFIC,38.559415,-121.423549,PUBLIC,FOUR_YEAR,https://www.csus.edu/,,,,,,8018,20618,20618,,28350,28350,0.94,0.56,https://collegescorecard.ed.gov/school/?110617,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Coppin State University,coppin-state-university,Baltimore,MD,21216-3698,MID_ATLANTIC,39.311258,-76.658687,PUBLIC,FOUR_YEAR,https://www.coppin.edu/,,,,,,7100,14024,14024,,1844,1844,0.46,0.26,https://collegescorecard.ed.gov/school/?162283,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
Hofstra University,hofstra-university,Hempstead,NY,11549,NORTHEAST,40.715959,-73.60078,PRIVATE,FOUR_YEAR,https://www.hofstra.edu/,,,,,,57660,57660,57660,,6488,6488,0.68,0.69,https://collegescorecard.ed.gov/school/?191649,NEEDS_REVIEW,,,,,,,,,NCAA_D1,,,,,,,,,,false,false,,UNVERIFIED
