slug,programXUrl,programInstagramUrl,recruitingQuestionnaireUrl,recruitsPageUrl,sourceUrl,confidence,verifiedAt,reviewStatus
texas-tech-university,https://x.com/TTU_Baseball,https://instagram.com/ttu_baseball,https://texastech.com/sports/2020/9/29/psa-questionnaire,https://texastech.com/sports/2020/9/29/psa-questionnaire,https://texastech.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
ucf,https://twitter.com/UCF_Baseball,https://www.instagram.com/ucf.baseball/,https://questionnaires.armssoftware.com/71e084e9b068,https://questionnaires.armssoftware.com/71e084e9b068,https://ucfknights.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-cincinnati,https://twitter.com/GoBearcatsBASE,https://instagram.com/gobearcatsbase,https://questionnaires.armssoftware.com/effe0ba96a2b,https://questionnaires.armssoftware.com/effe0ba96a2b,https://gobearcats.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-houston,,,https://my.armssoftware.com/arms/public/questionnaire/34804a5863c1,https://my.armssoftware.com/arms/public/questionnaire/34804a5863c1,https://uhcougars.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-kansas,,,,,https://kuathletics.com/sports/baseball,LOW,,NO_LINKS_FOUND
university-of-utah,http://twitter.com/utahbaseball,http://instagram.com/utahbaseball,,,https://utahutes.com/sports/baseball,LOW,,NEEDS_REVIEW
west-virginia-university,,,https://questionnaires.armssoftware.com/3ea649d0403c,https://questionnaires.armssoftware.com/3ea649d0403c,https://wvusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
creighton-university,https://www.x.com/CU_Baseball,,https://questionnaires.armssoftware.com/5701c948dab5,https://questionnaires.armssoftware.com/5701c948dab5,https://gocreighton.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
depaul-university,,,,,https://depaulbluedemons.com/sports/baseball,LOW,,NO_LINKS_FOUND
georgetown-university,https://x.com/GtownBaseball,https://instagram.com/hoyabaseball,https://questionnaires.armssoftware.com/f3b59e9c95cc,https://questionnaires.armssoftware.com/f3b59e9c95cc,https://guhoyas.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
providence-college,,,,,https://friars.com/sports/baseball,LOW,,NO_LINKS_FOUND
seton-hall-university,,,https://my.armssoftware.com/arms/public/questionnaire/41af470209be,https://my.armssoftware.com/arms/public/questionnaire/41af470209be,https://shupirates.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
st-johns-university,,,https://questionnaires.armssoftware.com/6f362348831a,https://questionnaires.armssoftware.com/6f362348831a,https://redstormsports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-connecticut,,,https://questionnaires.armssoftware.com/e5b8b64ccee1,https://questionnaires.armssoftware.com/e5b8b64ccee1,https://uconnhuskies.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
villanova-university,https://x.com/vubaseball,https://instagram.com/villanovabaseball,http://my.armssoftware.com/arms/public/questionnaire/b483bab561ed,http://my.armssoftware.com/arms/public/questionnaire/b483bab561ed,https://villanova.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
xavier-university,,,https://my.armssoftware.com/arms/public/questionnaire/2610b6f44c53,https://my.armssoftware.com/arms/public/questionnaire/2610b6f44c53,https://goxavier.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
charleston-southern-university,https://x.com/csu_bucbaseball,https://instagram.com/csu_bucbaseball,,,https://csusports.com/sports/baseball,LOW,,NEEDS_REVIEW
gardner-webb-university,http://www.twitter.com/gwusports,https://instagram.com/gwusports,https://questionnaires.armssoftware.com/9e3e9fbd1b30,https://questionnaires.armssoftware.com/9e3e9fbd1b30,https://gwusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
high-point-university,https://x.com/HPUBaseball,https://instagram.com/HPU_Baseball,,,https://highpointpanthers.com/sports/baseball,LOW,,NEEDS_REVIEW
longwood-university,https://x.com/longwoodbase,https://instagram.com/longwoodbaseball,,,https://longwoodlancers.com/sports/baseball,LOW,,NEEDS_REVIEW
presbyterian-college,https://x.com/BlueHoseBSB,https://instagram.com/bluehosebsb,,,https://gobluehose.com/sports/baseball,LOW,,NEEDS_REVIEW
unc-asheville,,,https://questionnaires.armssoftware.com/cab90a80b235,https://questionnaires.armssoftware.com/cab90a80b235,https://uncabulldogs.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
usc-upstate,https://twitter.com/UpstateSpartans,https://www.instagram.com/upstatespartans/,https://questionnaires.armssoftware.com/fab529d465ea,https://questionnaires.armssoftware.com/fab529d465ea,https://upstatespartans.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
winthrop-university,https://x.com/WinthropBasebal,https://instagram.com/winthropbaseball,,,https://winthropeagles.com/sports/baseball,LOW,,NEEDS_REVIEW
indiana-university,,,,,https://iuhoosiers.com/sports/baseball,LOW,,NO_LINKS_FOUND
michigan-state-university,https://x.com/MSUBaseball,https://www.instagram.com/msu_baseball/,https://questionnaires.armssoftware.com/a167f22557e3,https://questionnaires.armssoftware.com/a167f22557e3,https://msuspartans.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
northwestern-university,http://www.twitter.com/NU_Sports,http://www.instagram.com/NU_Sports,https://questionnaires.armssoftware.com/56bc8867a4c9,https://questionnaires.armssoftware.com/56bc8867a4c9,https://nusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
ohio-state-university,,,,https://ohiostatebuckeyes.com/feature/recruiting,https://ohiostatebuckeyes.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
penn-state-university,https://twitter.com/PennStateBASE,http://instagram.com/pennstatebase,https://questionnaires.armssoftware.com/06f443a331a0,https://questionnaires.armssoftware.com/06f443a331a0,https://gopsusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
purdue-university,https://twitter.com/purduebaseball,https://instagram.com/purduebaseball,https://questionnaires.armssoftware.com/6d9b351b7878,https://questionnaires.armssoftware.com/6d9b351b7878,https://purduesports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
rutgers-university,,,https://questionnaires.armssoftware.com/3614019b2ecb,https://questionnaires.armssoftware.com/3614019b2ecb,https://scarletknights.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
ucla,,,https://my.armssoftware.com/arms/public/questionnaire/a178ffd4710a,https://my.armssoftware.com/arms/public/questionnaire/a178ffd4710a,https://uclabruins.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-illinois,,,http://college.jumpforward.com/questionnaire.aspx?iid=403&amp;sportid=16,http://college.jumpforward.com/questionnaire.aspx?iid=403&amp;sportid=16,https://fightingillini.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-iowa,https://twitter.com/UIBaseball,https://www.instagram.com/uibaseball/,https://questionnaires.armssoftware.com/ee204abe4540,https://questionnaires.armssoftware.com/ee204abe4540,https://hawkeyesports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-maryland,,,https://questionnaires.armssoftware.com/fe30964d1d1f,https://questionnaires.armssoftware.com/fe30964d1d1f,https://umterps.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-michigan,https://twitter.com/umichbaseball,https://instagram.com/umichbaseball,https://questionnaires.armssoftware.com/712374407349,https://questionnaires.armssoftware.com/712374407349,https://mgoblue.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-minnesota,https://twitter.com/GopherBaseball,https://www.instagram.com/mngopherbaseball/,http://my.armssoftware.com/arms/public/questionnaire/ba062109008a,http://my.armssoftware.com/arms/public/questionnaire/ba062109008a,https://gophersports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-nebraska,https://twitter.com/HuskerBaseball,https://www.instagram.com/huskerbaseball/,https://questionnaires.armssoftware.com/eaf8257ee916?path=baseball,https://questionnaires.armssoftware.com/eaf8257ee916?path=baseball,https://huskers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-oregon,,https://instagram.com/oregonbaseball,,,https://goducks.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-southern-california,https://x.com/USC_Baseball,https://instagram.com/sctrojans_baseball,https://my.armssoftware.com/arms/public/questionnaire/d770b75a86a7,https://my.armssoftware.com/arms/public/questionnaire/d770b75a86a7,https://usctrojans.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-washington,,,http://my.armssoftware.com/arms/public/questionnaire/dfacaca1f3e9,http://my.armssoftware.com/arms/public/questionnaire/dfacaca1f3e9,https://gohuskies.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
campbell-university,https://x.com/GoCamelsBSB,https://instagram.com/gocamelsBSB,,https://gocamels.com/sports/2018/12/14/campbell-fighting-camels-baseball-recruiting-headquarters-.aspx,https://gocamels.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
college-of-charleston,,,https://cofcsports.com/api/v2/promotions/47/click?redirect=https%3a%2f%2fmy.armssoftware.com%2farms%2fpublic%2fquestionnaire%2ffb1833b2e981,https://cofcsports.com/api/v2/promotions/47/click?redirect=https%3a%2f%2fmy.armssoftware.com%2farms%2fpublic%2fquestionnaire%2ffb1833b2e981,https://cofcsports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
elon-university,https://x.com/ElonBaseball,https://instagram.com/elonbaseball,,,https://elonphoenix.com/sports/baseball,LOW,,NEEDS_REVIEW
monmouth-university,https://x.com/MUHawksbaseball,https://instagram.com/monmouthbaseball,,,https://monmouthhawks.com/sports/baseball,LOW,,NEEDS_REVIEW
north-carolina-at-state-university,https://x.com/NCAT_Baseball,https://instagram.com/ncatbaseball,,,https://ncataggies.com/sports/baseball,LOW,,NEEDS_REVIEW
stony-brook-university,https://x.com/StonyBrookBase,https://instagram.com/StonyBrookBase,,,https://stonybrookathletics.com/sports/baseball,LOW,,NEEDS_REVIEW
towson-university,https://x.com/Towson_BASE,https://instagram.com/towsontigersbaseball,,,https://towsontigers.com/sports/baseball,LOW,,NEEDS_REVIEW
university-of-north-carolina-wilmington,https://x.com/uncwbaseball,https://instagram.com/uncwbaseball,,,https://uncwsports.com/sports/baseball,LOW,,NEEDS_REVIEW
