programId,collegeId,collegeName,collegeSlug,city,state,conference,baseballWebsiteUrl,hasBaseballWebsite,coachCount
cmosp9qd4001hqtyggghrj9on,cmosp9qcd001fqtygqtxktpzw,University of Arkansas,university-of-arkansas,Fayetteville,AR,SEC,https://arkansasrazorbacks.com/sport/baseball,true,0
cmrxrdvk9000nqtx0lx6defy3,cmrxrdvk9000mqtx0itzsdx5v,"University of California, Davis",university-of-california-davis,Davis,CA,,https://ucdavisaggies.com/sports/baseball,true,0
cmrxrdvai000fqtx0tjvyddkn,cmrxrdvai000eqtx0kzqf0czs,"University of California, Irvine",university-of-california-irvine,Irvine,CA,,https://ucirvinesports.com/sports/baseball,true,0
cmrxrdwle001hqtx0ihflj3q4,cmrxrdwle001gqtx0bpmkw79z,"University of California, Riverside",university-of-california-riverside,Riverside,CA,,https://gohighlanders.com/sports/baseball,true,0
cmrxrduyd0005qtx0u3n2kvu5,cmrxrduyd0004qtx0vghj2x0t,"University of California, San Diego",university-of-california-san-diego,La Jolla,CA,,https://ucsdtritons.com/sports/baseball,true,0
cmrxrduq30001qtx0txnjqhcr,cmrxrduq20000qtx012s2s5yk,"University of California, Santa Barbara",university-of-california-santa-barbara,Santa Barbara,CA,,https://ucsbgauchos.com/sports/baseball,true,0
cmrxrdw900017qtx0ewpnxj0f,cmrxrdw900016qtx0r0fuipbh,University of Delaware,university-of-delaware,Newark,DE,,https://bluehens.com/sports/baseball,true,0
cmrxrdvd1000hqtx0ujdpix6y,cmrxrdvd1000gqtx02c298jt4,University of Hawaii at Manoa,university-of-hawaii-at-manoa,Honolulu,HI,,https://hawaiiathletics.com/sports/baseball,true,0
cmrxrdvhu000lqtx0973fnlz5,cmrxrdvhu000kqtx0gujfqrs7,University of Maine,university-of-maine,Orono,ME,,https://goblackbears.com/sports/baseball,true,0
cmrxrdvz1000zqtx0yzrzqat7,cmrxrdvz1000yqtx0u8if793l,"University of Maryland, Baltimore County",university-of-maryland-baltimore-county,Baltimore,MD,,https://umbcretrievers.com/sports/baseball,true,0
cmrxrdw1m0011qtx0h775gxd1,cmrxrdw1m0010qtx0bwgx0h84,University of Massachusetts Lowell,university-of-massachusetts-lowell,Lowell,MA,,https://goriverhawks.com/sports/baseball,true,0
cmrxrdwe3001bqtx0wvam2rmc,cmrxrdwe2001aqtx05nvcgm7m,University of Nebraska Omaha,university-of-nebraska-omaha,Omaha,NE,,https://omavs.com/sports/baseball,true,0
cmrxrdx57001xqtx0ghdsnofv,cmrxrdx57001wqtx0mcgkvth1,University of New Haven,university-of-new-haven,West Haven,CT,,https://newhavenchargers.com/sports/baseball,true,0
cmrxrdx0d001tqtx0klndcy97,cmrxrdx0d001sqtx0fsejcz96,University of Northern Colorado,university-of-northern-colorado,Greeley,CO,,https://uncbears.com/sports/baseball,true,0
cmrxrdwxt001rqtx0d6a23mph,cmrxrdwxt001qqtx0a2ko0tgd,University of St. Thomas,university-of-st-thomas-minnesota,St. Paul,MN,,https://tommiesports.com/sports/baseball,true,0
