field,missingCount
college.academicsUrl,36
college.admissionsUrl,36
college.applicationUrl,36
college.conference,36
college.financialAidUrl,36
college.logoUrl,36
college.majorsUrl,36
program.conference,36
program.lastVerifiedAt,36
program.nickname,36
program.generalContactEmail,31
program.programYoutubeUrl,15
college.programInstagramUrl,4
college.programXUrl,4
program.programInstagramUrl,4
program.programXUrl,4
